.........Rank=0........
   0   39    0  200    0  200   1616040
   0   39    0  200    0  200   1616040
.........Rank=1........
  40   79    0  200    0  200   1616040
  40   79    0  200    0  200   1616040
.........Rank=2........
  80  119    0  200    0  200   1616040
  80  119    0  200    0  200   1616040
.........Rank=3........
 120  159    0  200    0  200   1616040
 120  159    0  200    0  200   1616040
.........Rank=4........
 160  200    0  200    0  200   1656441
 160  200    0  200    0  200   1656441
