 0,0,5,5,1.5,0,0,0
 0.01,0,4.9998580314215592679,4.9999999987274383884,1.4999999991795553989,-0.026272276322070586135,-5.3320644493319346901e-07,-4.556304023171694622e-07
 0.02,0,4.9994710472858274741,4.9999999865215132289,1.4999999948427431562,-0.049883389463200221436,-2.1188365519082091295e-06,-7.7130224500065827257e-08
 0.03,0,4.9988511144664888874,4.9999999576498099785,1.4999999981375984337,-0.073031380221942956976,-3.6274769182375049858e-06,1.2108024952693939194e-06
 0.04,0,4.9980011890562421328,4.9999999173134961339,1.5000000141623226479,-0.09587339958319754385,-4.4758386912915938964e-06,2.2714112362564837656e-06
 0.05,0,4.9969250982707977826,4.9999998699591969853,1.5000000396364052691,-0.11822748581731055972,-5.1008553104195570549e-06,3.0109176597427911925e-06
 0.06,0,4.9956286234447810912,4.9999998164868149075,1.5000000715000447737,-0.13994850789621843257,-5.6549058811904675395e-06,3.5629613455262720373e-06
 0.07,0,4.9941185244237562557,4.9999997581341153463,1.5000001083224057119,-0.16096559924676365205,-6.0165609578693334797e-06,4.0132992896503201722e-06
 0.08,0,4.9924021620716070302,4.9999996973260980582,1.500000149323746923,-0.18121481761153562795,-6.1137389097774898656e-06,4.3892553507559528482e-06
 0.09,0,4.9904875935109833662,4.999999636600850117,1.5000001938469942342,-0.20062221856810699694,-5.9793969964610082588e-06,4.6975548501313485963e-06
 0.1,0,4.9883836284010429907,4.9999995780458865724,1.5000002410416635179,-0.21911392020135772585,-5.6657420608613108767e-06,4.8869953419865044459e-06
 0.11,0,4.9860997934252440089,4.9999995232471814433,1.5000002897586071082,-0.236620636831601866,-5.2366875890845296116e-06,4.9970561967552390391e-06
 0.12,0,4.9836462833583006216,4.9999994737248707466,1.5000003396386589749,-0.25307739593018752089,-4.5816363500326279584e-06,5.1108938051969240757e-06
 0.13,0,4.981033923414610598,4.9999994322216725351,1.5000003904047460868,-0.2684229664030163276,-3.6374537935495972204e-06,5.1421217214027427651e-06
 0.14,0,4.9782741301671604717,4.9999994005534569297,1.5000004411530156734,-0.2826001216773657565,-2.6769093929074949247e-06,5.0966680235130093081e-06
 0.15,0,4.9753788692715685826,4.9999993767541806022,1.5000004916030105218,-0.29555634719247009246,-2.1652754206022408818e-06,5.0724214883228965225e-06
 0.16,0,4.9723606070656618527,4.9999993571758816202,1.5000005416949537818,-0.30724354634829992294,-1.7804790692597825997e-06,5.0244072042563858607e-06
 0.17,0,4.9692322735040219683,4.9999993418632842079,1.5000005921499617312,-0.31761722787803142731,-1.2888214934478957614e-06,5.2027067098480653267e-06
 0.18,0,4.9660072028445805259,4.9999993300365037641,1.5000006456005379185,-0.32664047419964087338,-1.2163137883712119181e-06,5.5907656426584092924e-06
 0.19,0,4.96269908121252179,4.9999993181707056422,1.5000007024732289196,-0.33428004325556703868,-1.2504543324950910438e-06,5.7459339387708647666e-06
 0.2,0,4.9593218871172037865,4.9999993070368171644,1.5000007601156140069,-0.34051111195629685247,-9.7570773404464004476e-07,5.7518811599608274705e-06
