x,Curve1
0.0537,-0.004247
0.1019,-0.007877
0.1343,-0.011747
0.1827,-0.016371
0.2655,-0.020293
0.3217,-0.023649
0.3911,-0.026971
0.4606,-0.030807
0.5249,-0.034797
0.6208,-0.038273
0.6929,-0.041733
0.757,-0.044764
0.8344,-0.047846
0.9492,-0.053292
1.0718,-0.057213
1.1678,-0.061118
1.2691,-0.064954
1.4076,-0.068892
1.538,-0.072368
1.6793,-0.077146
1.7726,-0.080605
1.8714,-0.085075
2.0496,-0.088757
2.2039,-0.092319
2.3024,-0.095281
2.5179,-0.100333
2.7708,-0.106532
3.0075,-0.111379
3.3132,-0.117115
3.611,-0.12251
3.7485,-0.125551
4.0481,-0.130907
4.4026,-0.137295
4.9214,-0.144417
5.2378,-0.149229
5.4824,-0.152219
5.8998,-0.157139
6.1317,-0.159586
6.5843,-0.164603
7.0756,-0.1695
7.5986,-0.174124
8.1455,-0.178714
8.7587,-0.182944
9.348,-0.187311
10.0088,-0.191181
10.6987,-0.194863
11.4284,-0.198271
12.1951,-0.201285
12.9751,-0.204094
13.7868,-0.206611
14.5932,-0.208855
15.4022,-0.210739
16.2192,-0.212469
17.166,-0.213993
17.9961,-0.215089
18.9058,-0.216357
19.8127,-0.217231
21.5921,-0.218858
22.4513,-0.219338
23.337,-0.219886
24.2439,-0.220434
25.1296,-0.220829
26.0205,-0.221034
26.9115,-0.221291
27.8024,-0.221566
28.6801,-0.221772
29.5976,-0.22184
30.4779,-0.222132
31.3662,-0.222132
32.2783,-0.222081
33.1401,-0.222167
34.0707,-0.221773
34.9669,-0.221483
35.8471,-0.220832
36.7219,-0.219445
37.5171,-0.217579
38.3067,-0.214326
38.9664,-0.210696
39.4748,-0.206124
39.8426,-0.200798
40.1627,-0.195524
40.4243,-0.189941
40.6383,-0.184393
40.8018,-0.178639
40.9548,-0.172868
41.0706,-0.1672
41.1732,-0.161532
41.2996,-0.155658
41.3889,-0.149853
41.4569,-0.144134
41.5038,-0.138397
41.5268,-0.13254
41.5419,-0.126804
41.594,-0.121033
41.6224,-0.115279
41.6772,-0.109542
41.7108,-0.103669
41.7656,-0.097949
41.7939,-0.092007
41.8355,-0.086253
41.885,-0.080448
41.9398,-0.074694
42.0106,-0.069043
42.0574,-0.063187
42.1282,-0.057484
42.2228,-0.051765
42.3068,-0.045891
42.3855,-0.040223
42.4748,-0.034452
42.5932,-0.028681
42.7488,-0.022996
42.9495,-0.017208
43.2165,-0.011762
43.6585,-0.006848
44.35,-0.003132
