x,Curve1
0.1129,-0.009096
0.1244,-0.014115
0.1755,-0.018278
0.2717,-0.023177
0.3307,-0.026689
0.4162,-0.030885
0.454,-0.034603
0.5474,-0.038234
0.649,-0.043185
0.7479,-0.047861
0.8839,-0.05252
1.0095,-0.057933
1.1402,-0.06273
1.2549,-0.066704
1.3883,-0.071603
1.5297,-0.076485
1.6603,-0.080647
1.8361,-0.085615
1.9934,-0.09024
2.1692,-0.09495
2.3236,-0.098582
2.4648,-0.102624
2.6325,-0.106513
2.8321,-0.110898
3.0238,-0.115351
3.2313,-0.119343
3.4203,-0.123762
3.6437,-0.127856
3.822,-0.131796
4.024,-0.13469
4.2714,-0.139024
4.5452,-0.143255
4.8642,-0.148102
5.1406,-0.15187
5.4702,-0.156461
5.8581,-0.161377
6.2141,-0.165385
6.5594,-0.168862
6.8808,-0.17251
7.2685,-0.175919
7.6457,-0.179464
8.0307,-0.182513
8.3626,-0.185441
8.843,-0.188507
9.2731,-0.191436
9.6261,-0.193525
10.0322,-0.195769
10.5205,-0.198526
10.9663,-0.20065
11.4652,-0.202927
11.9163,-0.204828
12.3859,-0.206455
13.0385,-0.208698
13.5585,-0.210342
14.0997,-0.211831
14.6833,-0.213304
15.3066,-0.214519
15.983,-0.215906
16.6779,-0.217018
17.3038,-0.218028
17.9854,-0.219021
18.6537,-0.219842
19.5315,-0.220732
20.2767,-0.221416
21.4807,-0.222271
22.3717,-0.223006
23.3608,-0.22357
24.159,-0.223895
25.0526,-0.224304
25.9436,-0.224594
27.2986,-0.224969
28.2028,-0.22514
29.0593,-0.22531
29.8203,-0.225429
30.6635,-0.225496
31.5067,-0.225426
32.6468,-0.225476
33.4052,-0.225372
34.2032,-0.224926
34.9508,-0.224377
35.595,-0.223673
36.226,-0.222765
37.0184,-0.220845
37.5802,-0.21884
38.0544,-0.216304
38.5443,-0.21238
38.9043,-0.208611
39.1609,-0.205048
39.4174,-0.201227
39.6975,-0.195471
39.8558,-0.191137
40.0458,-0.185655
40.1564,-0.181235
40.3173,-0.175925
40.3592,-0.173064
40.4907,-0.166588
40.5617,-0.163282
40.6746,-0.156652
40.7769,-0.149954
40.8397,-0.145124
40.9522,-0.136387
41.0123,-0.130871
41.0373,-0.122237
41.0783,-0.113706
41.08,-0.107745
41.124,-0.101801
41.1597,-0.093527
41.2008,-0.085664
41.2187,-0.081724
41.2549,-0.07631
41.3042,-0.069493
41.3693,-0.062932
41.4083,-0.058426
41.45,-0.054161
41.5072,-0.047034
41.5754,-0.043043
41.6486,-0.036722
41.714,-0.031737
41.8008,-0.027248
41.9323,-0.020824
42.0563,-0.017381
42.22,-0.013321
42.3813,-0.010443
42.6512,-0.007222
42.9292,-0.005166
43.3558,-0.003127
43.6394,-0.002356
