x,Re=11.6
0.03011,-0.016959
0.04338,-0.025281
0.07385,-0.034316
0.13871,-0.047572
0.19978,-0.05744
0.23986,-0.064157
0.30672,-0.070993
0.39846,-0.077711
0.57634,-0.081339
0.68919,-0.083362
0.79248,-0.085503
1.06032,-0.086993
1.25164,-0.087709
1.45831,-0.085215
1.5215,-0.081947
1.55795,-0.075647
1.58484,-0.068752
1.60808,-0.050505
1.63356,-0.010265
