x,Re=4.1
0.08722,-0.02645
0.14025,-0.034423
0.24187,-0.042775
0.30406,-0.047682
0.41789,-0.051552
0.50137,-0.054856
0.58486,-0.056933
0.69418,-0.057736
1.01764,-0.057646
1.21204,-0.05647
1.31379,-0.056518
1.40792,-0.057605
1.63268,-0.057513
1.91358,-0.059688
2.02748,-0.059595
2.11105,-0.056671
2.18854,-0.053794
2.24937,-0.04804
2.2859,-0.04219
2.32857,-0.032472
2.35452,-0.023651
2.37289,-0.014404
2.40334,-0.008649
2.45656,-0.004357
