x,Re=32.2
0.06424,-0.037585
0.11559,-0.057736
0.17464,-0.075152
0.25476,-0.091023
0.30436,-0.100713
0.47447,-0.11189
0.53754,-0.116467
0.61594,-0.119381
0.80724,-0.121702
0.93924,-0.122357
1.02725,-0.122537
1.10761,-0.122538
1.14593,-0.118853
1.16894,-0.115882
1.1979,-0.098704
1.20593,-0.073978
