x,Curve2-1
-0.29709,0.398226
-0.27935,0.35569
-0.25925,0.316435
-0.23306,0.258607
-0.19811,0.187519
-0.17736,0.144424
-0.15335,0.089911
-0.13148,0.051235
-0.10854,0.005561
-0.09129,-0.018843
-0.07842,-0.037353
-0.06909,-0.046195
-0.06305,-0.050248
-0.05782,-0.052183
-0.05038,-0.052646
-0.04376,-0.050991
-0.03602,-0.045746
-0.02882,-0.03783
-0.01775,-0.025773
-0.0097,-0.013255
0.00665,0.008468
0.0183,0.026141
0.04044,0.047493
0.06092,0.06811
0.08249,0.086332
0.10628,0.106395
0.15051,0.138603
0.18201,0.159953
0.22014,0.183693
0.26102,0.206144
0.31404,0.231721
0.35379,0.249384
0.40071,0.267045
0.44541,0.281393
0.505,0.297392
0.55199,0.307543
0.6114,0.316803
0.65446,0.321544
0.69648,0.324546
0.73572,0.326388
0.78571,0.326139
0.86826,0.321114
0.91921,0.315388
0.98089,0.306068
1.02408,0.297522
1.06535,0.288344
1.10211,0.2794
1.13331,0.270689
1.17041,0.259657
1.2082,0.24816
1.27094,0.226331
1.33044,0.203583
1.39462,0.176962
1.447,0.154145
1.49152,0.133084
1.54128,0.108807
1.58798,0.085407
1.63948,0.060544
1.68531,0.03919
1.72286,0.023978
1.75996,0.008035
1.79054,-0.001183
1.82376,-0.006894
1.84617,-0.008357
1.87361,-0.005525
1.90766,-0.000374
1.94168,0.001006
1.99375,0.000814
