.........Rank=0........
   0   49    0   99    0   49    250000
   0   24    0   99    0   99    250000
   0   99    0   99    0   25    260000
   0   99    0   99    0   25    260000
.........Rank=1........
   0   49    0   99   50   99    250000
  25   49    0   99    0   99    250000
   0   99    0   99   52   75    240000
   0   99    0   99   52   75    240000
.........Rank=2........
  50   99    0   99    0   49    250000
  50   74    0   99    0   99    250000
   0   99    0   99   26   51    260000
   0   99    0   99   26   51    260000
.........Rank=3........
  50   99    0   99   50   99    250000
  75   99    0   99    0   99    250000
   0   99    0   99   76   99    240000
   0   99    0   99   76   99    240000
